,Inventory List,,,,,,,,,
,,,,,,,,,,
Flagged items to reorder,EPA Reg #,Name,Description,Quantity in Stock,Units,Reorder Level,Quantity in Reorder,Priority,Eco?,Discontinued?
Reorder,1021-2796,VENDETTA NITRO,Roach Bait,0.0,each,,,,NO,NO
Reorder,1021-2593,VENDETTA PLUS ,Roach Bait,18.0,each,,,1,NO,NO
Reorder,N/A,VICTOR PRO RAT SNAP TRAP,Termite Bait,3.5,each,,,,,
Reorder,N/A,VICTOR SNAP TRAP - MICE,Trap,72.0,each,,,2,YES,NO
Reorder,100-1055,WEATHERBLOK-XT,Rodent Bait,0.0,oz,,,,NO,NO
Reorder,EPA EXEMPT,WEB OUT,Repellent,256.0,gal,,,2,YES,NO
Reorder,N/A,WEBSTER HEAD (YELLOW),Other,16.0,each,,,,YES,NO
Reorder,N/A,WEBSTER POLE (20 FT),Other,3.0,each,,,,YES,NO
Reorder,5481-521,WISDOM EZ,Granule,19.0,each,,,1,NO,NO
Reorder,EPA EXEMPT ,XLURE RTU ,Trap,1.0,each,,,1,NO,NO
Reorder,2724-786-89459,ZENPROX WASP X2,Wasp Spray,0.0,each,,,1,NO,NO
,,,,,,,,,,
